Name,Type,KeyField,Input,[EOL],
#layerNum#,int,TemporaryNumbering,False,
#machineStateNum#,int,TemporaryNumbering,False,
#stateNum#,int,TemporaryNumbering,False,
#parentPath#,string,Identifiable,False,
name,string,Identifiable,False,
cycleOffset,float,None,True,
cycleOffsetParameter,string,None,True,
hideFlags,other,None,False,
iKOnFeet,bool,None,True,
mirror,bool,None,True,
mirrorParameter,string,None,True,
mirrorParameterActive,bool,None,True,
motion_name,string,None,False,
nameHash,int,None,False,
speed,float,None,True,
speedParameter,string,None,True,
speedParameterActive,bool,None,True,
tag,string,None,True,
writeDefaultValues,bool,None,True,
[EOF],
